"date","DAX","TA 35","FTSE","DFM","BIST"
2010-01-04,"6,048.30","1,163.11","5,500.30","1,817.13","53,368.16"
2010-01-05,"6,031.86","1,168.65","5,522.50","1,818.70","54,115.05"
2010-01-06,"6,034.33","1,169.75","5,530.00","1,819.87","54,547.36"
2010-01-07,"6,019.36","1,166.23","5,526.70","1,837.14","54,972.94"
2010-01-08,"6,037.61",NA,"5,534.20",NA,"54,797.90"
2010-01-11,"6,040.50","1,169.71","5,538.10","1,802.65","53,921.06"
2010-01-12,"5,943.00","1,145.85","5,498.70","1,759.05","53,676.35"
2010-01-13,"5,963.14","1,151.90","5,473.50","1,712.37","54,627.19"
2010-01-14,"5,988.88","1,146.95","5,498.20","1,707.37","54,740.60"
2010-01-15,"5,875.97",NA,"5,455.40",NA,"54,005.65"
2010-01-18,"5,918.55","1,159.23","5,494.40","1,688.11","54,550.83"
2010-01-19,"5,976.48","1,156.38","5,513.10","1,661.54","55,159.60"
2010-01-20,"5,851.53","1,151.92","5,420.80","1,677.09","55,469.20"
2010-01-21,"5,746.97","1,155.62","5,335.10","1,652.26","55,301.18"
2010-01-22,"5,695.32",NA,"5,303.00",NA,"53,997.49"
2010-01-25,"5,631.37","1,136.36","5,260.30","1,614.30","54,281.00"
2010-01-26,"5,668.93","1,128.47","5,276.90","1,556.08","54,317.48"
2010-01-27,"5,643.20","1,125.04","5,217.50","1,565.48","54,071.02"
2010-01-28,"5,540.33","1,135.79","5,145.70","1,599.43","54,770.46"
2010-01-29,"5,608.79",NA,"5,188.50",NA,"54,650.58"
2010-02-01,"5,654.48","1,123.18","5,247.40","1,624.75","55,526.01"
2010-02-02,"5,709.66","1,130.80","5,283.30","1,648.46","55,147.64"
2010-02-03,"5,672.09","1,139.49","5,253.10","1,659.55","55,068.70"
2010-02-04,"5,533.24","1,135.17","5,139.30","1,663.21","53,463.88"
2010-02-05,"5,434.34",NA,"5,060.90",NA,"51,454.89"
2010-02-08,"5,484.85","1,118.61","5,092.30","1,646.80","49,933.38"
2010-02-09,"5,498.26","1,129.03","5,111.80","1,660.97","50,826.36"
2010-02-10,"5,536.37","1,135.16","5,132.00","1,640.63","50,567.50"
2010-02-11,"5,503.93","1,136.46","5,161.50","1,676.20","51,381.04"
2010-02-12,"5,500.39",NA,"5,142.50",NA,"51,063.82"
2010-02-15,"5,511.10","1,160.02","5,167.50","1,614.21","51,334.42"
2010-02-16,"5,592.12","1,166.53","5,244.10","1,621.99","51,748.50"
2010-02-17,"5,648.34","1,166.53","5,276.60","1,628.44","53,273.30"
2010-02-18,"5,680.41","1,165.96","5,325.10","1,625.99","52,449.80"
2010-02-19,"5,722.05",NA,"5,358.20",NA,"53,318.97"
2010-02-22,"5,688.44","1,176.47","5,352.10","1,622.01","52,592.88"
2010-02-23,"5,604.07","1,169.46","5,315.10","1,586.14","51,416.56"
2010-02-24,"5,615.51","1,172.34","5,342.90","1,569.63","49,659.56"
2010-02-25,"5,532.33","1,159.61","5,278.20","1,581.94","48,739.43"
2010-02-26,"5,598.46",NA,"5,354.50",NA,"49,705.49"
2010-03-01,"5,713.51","1,187.08","5,405.90","1,596.79","51,183.73"
2010-03-02,"5,776.56","1,195.72","5,484.10","1,588.36","51,476.11"
2010-03-03,"5,817.88","1,195.03","5,533.20","1,573.15","51,699.06"
