"date","DAX","TA.35","FTSE","DFM","BIST"
2010-01-04,6048.3,1163.11,5500.3,1817.13,53368.16
2010-01-05,6031.86,1168.65,5522.5,1818.7,54115.05
2010-01-06,6034.33,1169.75,5530,1819.87,54547.36
2010-01-07,6019.36,1166.23,5526.7,1837.14,54972.94
2010-01-08,6037.61,1167.97,5534.2,1819.895,54797.9
2010-01-11,6040.5,1169.71,5538.1,1802.65,53921.06
2010-01-12,5943,1145.85,5498.7,1759.05,53676.35
2010-01-13,5963.14,1151.9,5473.5,1712.37,54627.19
2010-01-14,5988.88,1146.95,5498.2,1707.37,54740.6
2010-01-15,5875.97,1153.09,5455.4,1697.74,54005.65
2010-01-18,5918.55,1159.23,5494.4,1688.11,54550.83
2010-01-19,5976.48,1156.38,5513.1,1661.54,55159.6
2010-01-20,5851.53,1151.92,5420.8,1677.09,55469.2
2010-01-21,5746.97,1155.62,5335.1,1652.26,55301.18
2010-01-22,5695.32,1145.99,5303,1633.28,53997.49
2010-01-25,5631.37,1136.36,5260.3,1614.3,54281
2010-01-26,5668.93,1128.47,5276.9,1556.08,54317.48
2010-01-27,5643.2,1125.04,5217.5,1565.48,54071.02
2010-01-28,5540.33,1135.79,5145.7,1599.43,54770.46
2010-01-29,5608.79,1129.485,5188.5,1612.09,54650.58
2010-02-01,5654.48,1123.18,5247.4,1624.75,55526.01
2010-02-02,5709.66,1130.8,5283.3,1648.46,55147.64
2010-02-03,5672.09,1139.49,5253.1,1659.55,55068.7
2010-02-04,5533.24,1135.17,5139.3,1663.21,53463.88
2010-02-05,5434.34,1126.89,5060.9,1655.005,51454.89
2010-02-08,5484.85,1118.61,5092.3,1646.8,49933.38
2010-02-09,5498.26,1129.03,5111.8,1660.97,50826.36
2010-02-10,5536.37,1135.16,5132,1640.63,50567.5
2010-02-11,5503.93,1136.46,5161.5,1676.2,51381.04
2010-02-12,5500.39,1148.24,5142.5,1645.205,51063.82
2010-02-15,5511.1,1160.02,5167.5,1614.21,51334.42
2010-02-16,5592.12,1166.53,5244.1,1621.99,51748.5
2010-02-17,5648.34,1166.53,5276.6,1628.44,53273.3
2010-02-18,5680.41,1165.96,5325.1,1625.99,52449.8
2010-02-19,5722.05,1171.215,5358.2,1624,53318.97
